indicator,timepoint,module,value,row_order
Inflammation | CRP,T01,Inflammation,0.387,1
Inflammation | CRP,T02,Inflammation,0.599,1
Inflammation | CRP,T03,Inflammation,0.878,1
Inflammation | CRP,T04,Inflammation,1.1,1
Inflammation | CRP,T05,Inflammation,1.249,1
Inflammation | CRP,T06,Inflammation,1.22,1
Inflammation | CRP,T07,Inflammation,1.24,1
Inflammation | CRP,T08,Inflammation,1.276,1
Inflammation | CRP,T09,Inflammation,1.213,1
Inflammation | CRP,T10,Inflammation,0.905,1
Inflammation | CRP,T11,Inflammation,0.692,1
Inflammation | CRP,T12,Inflammation,0.645,1
Inflammation | CRP,T13,Inflammation,0.47,1
Inflammation | CRP,T14,Inflammation,0.691,1
Inflammation | CRP,T15,Inflammation,0.596,1
Inflammation | CRP,T16,Inflammation,0.511,1
Inflammation | CRP,T17,Inflammation,0.514,1
Inflammation | CRP,T18,Inflammation,0.379,1
Inflammation | CRP,T19,Inflammation,0.379,1
Inflammation | CRP,T20,Inflammation,-0.006,1
Inflammation | CRP,T21,Inflammation,-0.286,1
Inflammation | CRP,T22,Inflammation,-0.61,1
Inflammation | CRP,T23,Inflammation,-1.114,1
Inflammation | CRP,T24,Inflammation,-1.382,1
Inflammation | CRP,T25,Inflammation,-1.653,1
Inflammation | CRP,T26,Inflammation,-1.986,1
Inflammation | CRP,T27,Inflammation,-1.846,1
Inflammation | CRP,T28,Inflammation,-1.768,1
Inflammation | CRP,T29,Inflammation,-1.538,1
Inflammation | CRP,T30,Inflammation,-1.263,1
Inflammation | CRP,T31,Inflammation,-0.926,1
Inflammation | CRP,T32,Inflammation,-0.509,1
Inflammation | CRP,T33,Inflammation,-0.448,1
Inflammation | CRP,T34,Inflammation,-0.115,1
Inflammation | CRP,T35,Inflammation,0.185,1
Inflammation | CRP,T36,Inflammation,0.32,1
Inflammation | IL6,T01,Inflammation,0.665,2
Inflammation | IL6,T02,Inflammation,1.088,2
Inflammation | IL6,T03,Inflammation,1.126,2
Inflammation | IL6,T04,Inflammation,1.359,2
Inflammation | IL6,T05,Inflammation,1.381,2
Inflammation | IL6,T06,Inflammation,1.386,2
Inflammation | IL6,T07,Inflammation,1.405,2
Inflammation | IL6,T08,Inflammation,1.351,2
Inflammation | IL6,T09,Inflammation,1.113,2
Inflammation | IL6,T10,Inflammation,0.874,2
Inflammation | IL6,T11,Inflammation,0.605,2
Inflammation | IL6,T12,Inflammation,0.425,2
Inflammation | IL6,T13,Inflammation,0.335,2
Inflammation | IL6,T14,Inflammation,0.352,2
Inflammation | IL6,T15,Inflammation,0.329,2
Inflammation | IL6,T16,Inflammation,0.143,2
Inflammation | IL6,T17,Inflammation,0.239,2
Inflammation | IL6,T18,Inflammation,0.03,2
Inflammation | IL6,T19,Inflammation,-0.019,2
Inflammation | IL6,T20,Inflammation,-0.275,2
Inflammation | IL6,T21,Inflammation,-0.385,2
Inflammation | IL6,T22,Inflammation,-0.85,2
Inflammation | IL6,T23,Inflammation,-1.115,2
Inflammation | IL6,T24,Inflammation,-1.37,2
Inflammation | IL6,T25,Inflammation,-1.718,2
Inflammation | IL6,T26,Inflammation,-1.772,2
Inflammation | IL6,T27,Inflammation,-1.788,2
Inflammation | IL6,T28,Inflammation,-1.687,2
Inflammation | IL6,T29,Inflammation,-1.46,2
Inflammation | IL6,T30,Inflammation,-1.042,2
Inflammation | IL6,T31,Inflammation,-0.863,2
Inflammation | IL6,T32,Inflammation,-0.44,2
Inflammation | IL6,T33,Inflammation,-0.153,2
Inflammation | IL6,T34,Inflammation,-0.021,2
Inflammation | IL6,T35,Inflammation,0.369,2
Inflammation | IL6,T36,Inflammation,0.383,2
Inflammation | IL8,T01,Inflammation,0.94,3
Inflammation | IL8,T02,Inflammation,1.078,3
Inflammation | IL8,T03,Inflammation,1.336,3
Inflammation | IL8,T04,Inflammation,1.398,3
Inflammation | IL8,T05,Inflammation,1.636,3
Inflammation | IL8,T06,Inflammation,1.727,3
Inflammation | IL8,T07,Inflammation,1.478,3
Inflammation | IL8,T08,Inflammation,1.285,3
Inflammation | IL8,T09,Inflammation,1.087,3
Inflammation | IL8,T10,Inflammation,0.768,3
Inflammation | IL8,T11,Inflammation,0.217,3
Inflammation | IL8,T12,Inflammation,0.374,3
Inflammation | IL8,T13,Inflammation,0.084,3
Inflammation | IL8,T14,Inflammation,0.006,3
Inflammation | IL8,T15,Inflammation,-0.116,3
Inflammation | IL8,T16,Inflammation,-0.294,3
Inflammation | IL8,T17,Inflammation,-0.105,3
Inflammation | IL8,T18,Inflammation,-0.272,3
Inflammation | IL8,T19,Inflammation,-0.274,3
Inflammation | IL8,T20,Inflammation,-0.493,3
Inflammation | IL8,T21,Inflammation,-0.66,3
Inflammation | IL8,T22,Inflammation,-1.0,3
Inflammation | IL8,T23,Inflammation,-1.127,3
Inflammation | IL8,T24,Inflammation,-1.559,3
Inflammation | IL8,T25,Inflammation,-1.448,3
Inflammation | IL8,T26,Inflammation,-1.54,3
Inflammation | IL8,T27,Inflammation,-1.563,3
Inflammation | IL8,T28,Inflammation,-1.446,3
Inflammation | IL8,T29,Inflammation,-1.318,3
