state,state_abbr,incidence,prevalence,mortality,region
California,CA,92.4,42.1,5.79,Northeast
Texas,TX,88.1,38.9,5.11,Midwest
Florida,FL,84.7,39.4,4.91,West
New York,NY,79.6,37.5,4.59,Northeast
Pennsylvania,PA,72.5,31.3,4.48,Midwest
Illinois,IL,70.8,31.3,4.48,Midwest
Ohio,OH,69.4,32.3,4.19,Midwest
Georgia,GA,82.3,37.2,4.73,Midwest
North Carolina,NC,76.1,34.9,4.41,West
Michigan,MI,68.8,31.0,4.29,Midwest
New Jersey,NJ,74.2,35.1,4.59,Northeast
Virginia,VA,66.9,32.0,4.18,South
Washington,WA,61.4,28.9,3.67,Midwest
Arizona,AZ,78.5,37.2,4.72,West
Massachusetts,MA,59.8,28.6,3.73,South
Tennessee,TN,86.6,38.4,5.14,South
Indiana,IN,71.2,33.3,4.46,Northeast
Missouri,MO,73.5,32.8,4.46,West
Maryland,MD,64.7,31.1,4.09,South
Wisconsin,WI,58.9,27.7,3.67,South
Colorado,CO,55.2,26.0,3.52,Northeast
Minnesota,MN,53.6,24.8,3.5,Northeast
South Carolina,SC,83.2,39.3,4.66,West
Alabama,AL,87.5,39.6,5.09,West
Louisiana,LA,90.1,40.4,5.2,Northeast
Kentucky,KY,80.4,36.4,4.67,West
Oregon,OR,57.7,27.8,3.55,Northeast
Oklahoma,OK,85.3,39.2,5.3,South
Connecticut,CT,56.8,27.3,3.4,Northeast
Utah,UT,49.4,24.2,3.34,South
