gene,log2fc,pvalue,neg_log10_p
GENE1,-1.944,2.906e-05,4.537
GENE2,-0.468,0.04835677,1.316
GENE3,2.328,9.13e-06,5.04
GENE4,0.423,0.06082878,1.216
GENE5,1.188,1.873e-05,4.727
GENE6,-0.586,0.14271606,0.846
GENE7,0.058,0.47576208,0.323
GENE8,-0.142,0.04813059,1.318
GENE9,-0.008,0.95499259,0.02
GENE10,-0.384,0.80815816,0.093
GENE11,-1.594,0.00011797,3.928
GENE12,0.35,0.0987167,1.006
GENE13,0.03,0.30905147,0.51
GENE14,0.507,0.06556531,1.183
GENE15,0.21,0.04759122,1.322
GENE16,-1.1,0.00949275,2.023
GENE17,0.166,0.13020453,0.885
GENE18,1.262,6.185e-05,4.209
GENE19,0.395,0.27847246,0.555
GENE20,-0.022,0.48538864,0.314
GENE21,1.942,1.77e-05,4.752
GENE22,-0.306,0.30026683,0.522
GENE23,0.55,0.06983857,1.156
GENE24,-0.07,0.06307355,1.2
GENE25,-0.193,0.02657158,1.576
GENE26,-0.158,0.28546936,0.544
GENE27,0.24,0.02096222,1.679
GENE28,1.645,0.00011957,3.922
GENE29,1.82,1.55e-06,5.809
GENE30,0.194,0.1956531,0.709
GENE31,1.688,1.135e-05,4.945
GENE32,-0.183,0.1264917,0.898
GENE33,-0.231,0.00578398,2.238
GENE34,-0.366,0.03974798,1.401
GENE35,0.277,0.27455123,0.561
GENE36,0.508,0.02120766,1.674
GENE37,-0.051,0.42987906,0.367
GENE38,-0.378,0.15288977,0.816
GENE39,-0.371,0.03681745,1.434
GENE40,-1.623,9.32e-06,5.031
GENE41,1.946,8.39e-06,5.076
GENE42,-1.528,2.26e-05,4.646
GENE43,-0.299,0.08596953,1.066
GENE44,0.104,0.15733771,0.803
GENE45,0.053,0.95499259,0.02
GENE46,0.098,0.12517195,0.902
GENE47,1.862,1.7e-05,4.77
GENE48,0.101,0.95499259,0.02
GENE49,0.306,0.12669015,0.897
GENE50,-1.321,9.641e-05,4.016
GENE51,0.13,0.45752728,0.34
GENE52,0.284,0.05441418,1.264
GENE53,-0.656,0.1372817,0.862
GENE54,-0.144,0.32370843,0.49
GENE55,-0.212,0.3055684,0.515
GENE56,-0.287,0.13345873,0.875
GENE57,-0.124,0.17084385,0.767
GENE58,0.673,0.0913756,1.039
GENE59,-0.39,0.04170188,1.38
GENE60,1.756,6.38e-06,5.195
GENE61,-0.757,0.16887842,0.772
GENE62,2.082,9.302e-05,4.031
GENE63,0.073,0.27670909,0.558
GENE64,0.264,0.17399838,0.759
GENE65,0.32,0.12602552,0.9
GENE66,0.357,0.1021486,0.991
GENE67,-0.157,0.16042141,0.795
GENE68,-0.208,0.06325099,1.199
GENE69,0.386,0.28285185,0.548
GENE70,-0.086,0.87892628,0.056
GENE71,-0.574,0.1419726,0.848
GENE72,-0.51,0.0426108,1.37
GENE73,-0.414,0.02230775,1.652
GENE74,0.224,0.2496509,0.603
GENE75,0.064,0.95499259,0.02
GENE76,0.311,0.68420029,0.165
GENE77,-0.192,0.42350428,0.373
GENE78,0.071,0.49022625,0.31
GENE79,0.282,0.19834698,0.703
GENE80,-0.139,0.20742891,0.683
GENE81,0.206,0.23533424,0.628
GENE82,-0.298,0.04131463,1.384
GENE83,-0.163,0.39900444,0.399
GENE84,-0.172,0.46965711,0.328
GENE85,-0.538,0.03165249,1.5
GENE86,0.219,0.79684826,0.099
GENE87,-0.211,0.11148864,0.953
GENE88,0.006,0.31270615,0.505
GENE89,0.216,0.19099778,0.719
GENE90,0.201,0.03340568,1.476
GENE91,0.299,0.23221338,0.634
GENE92,-0.044,0.03582385,1.446
GENE93,-0.19,0.22708768,0.644
GENE94,-0.036,0.95499259,0.02
GENE95,-1.998,1.317e-05,4.88
GENE96,-0.651,0.10591303,0.975
