country,incidence,prevalence,mortality,who_region
China,78.5,31.8,4.75,WPRO
United States,96.4,38.9,5.84,AMRO
India,69.2,28.8,4.32,SEARO
Japan,58.8,25.1,3.77,WPRO
Germany,71.5,30.1,4.56,EURO
Brazil,82.1,34.4,5.22,AMRO
Russia,74.6,31.8,4.84,EURO
United Kingdom,67.8,29.4,4.5,EURO
France,63.5,28.0,4.3,EURO
Italy,61.2,27.4,4.22,EURO
Canada,54.6,25.1,3.89,AMRO
Australia,49.9,23.6,3.67,WPRO
"Korea, South",64.1,29.2,4.54,WPRO
Indonesia,57.6,27.0,4.22,SEARO
Nigeria,88.3,38.9,6.05,AFRO
South Africa,84.5,37.7,5.88,AFRO
Mexico,79.8,36.2,5.66,AMRO
Turkey,73.3,33.9,5.34,EURO
Thailand,55.9,27.5,4.38,SEARO
Vietnam,52.7,26.6,4.25,WPRO
Egypt,77.2,36.1,5.72,EMRO
Pakistan,80.5,37.6,5.96,EMRO
Bangladesh,72.6,34.8,5.56,SEARO
Philippines,68.4,33.5,5.37,WPRO
